Name,Rating,Review,Date
Gaucho (London),70,,01-01-2020
Sticky Wings (London),99,,01-01-2020
Tayyabs (London),70,,01-01-2020
Bottega Prelibato (London),70,,01-01-2020
Yuatcha (London),70,,01-01-2020
Alto by San Carlo (London),70,,01-01-2020
Busaba (London),50,,01-01-2020
Souk Bazaar (London),50,,01-01-2020
Circolo (London),90,,01-01-2020
Sticks and Sushi (London),70,,01-01-2020
Kenza (London),70,,01-01-2020
Padella (London),50,,01-01-2020
The Breakfast Club (London),50,,01-01-2020
Where The Pancakes Are (London),70,,01-01-2020
Gloria (London),70,,01-01-2020
Grounded Coffee (London),99,,01-01-2020
Rabot 1745 (London),70,,01-01-2020
Sushisamba (London),90,,01-01-2021
Blues Kitchen (London),70,,01-01-2021
Duck & Waffle (London),80,,01-01-2021
Pizza Brixton (London),70,,01-01-2021
Spaghetti House (London),50,,01-01-2021
Burger & Lobster (London),80,,01-01-2021
Brickwood (London),90,,01-01-2021
Six By Nico (London),80,,01-01-2021
The Ivy (Cardiff),70,,01-01-2021
The Botanist (Cardiff),80,,01-01-2021
San Carlo Flying Pizza (Leeds),70,,01-01-2021
Banyan (Leeds),70,,01-01-2021
Murgatroyds (Leeds),80,,01-01-2021
The Ivy (Leeds),70,,01-01-2021
Sukhothai (Leeds),70,,01-01-2021
Tattu (Leeds),70,,01-01-2021
Blue Sakura (Leeds),99,,01-01-2021
Estabulo (Leeds),70,,01-01-2021
Issho (Leeds),90,,01-01-2021
Mrs. Atha's (Leeds),30,,01-01-2021
Cow and Calf (Ilkley),80,,01-01-2021
Betty's (Harrogate),90,,01-01-2021
The Eagle (Cambridge),30,,01-01-2021
Limoncello (Cambridge),99,,01-01-2021
Bancone (London),50,,01-01-2021
Peggy Porschen (London),70,,01-01-2021
Eataly - Al Fresco (London),50,,01-01-2021
Christopher's (London),70,,01-01-2021
The Ivy (Blackheath),70,,01-01-2021
Trishna (London),99,,01-01-2022
Franco Manca (London),70,,01-01-2022
Crazy Pizza Place (London),70,,01-01-2022
Lina Stores (London),70,,01-01-2022
Chaplin's Coffee & Co (London),70,,01-01-2022
Coffee Addict (London),70,,01-01-2022
Bibis (Leeds),70,,01-01-2022
Nipa Thai (London),80,,01-01-2022
Flour & Grape (London),70,,01-01-2022
Amazonico (London),70,,01-01-2022
